Column1;Column2;Column3;Column4;Column5;Column6
OVO001993;;Lokale overheid;Aalter (voor fusie);Gemeente;http://data.lblod.info/id/bestuurseenheden/9b93ff5308590c7d03c97c3b892910f912e695ad45c82465934996fb04dac859
OVO001994;Stad Aarschot;Lokale overheid;Aarschot;Gemeente;http://data.lblod.info/id/bestuurseenheden/ba4d960fe3e01984e15fd0b141028bab8f2b9b240bf1e5ab639ba0d7fe4dc522
OVO001995;Gemeente Aartselaar;Lokale overheid;Aartselaar;Gemeente;http://data.lblod.info/id/bestuurseenheden/38dc63f50a4f7ea61ef741d8944a874a59ba84b69b9ff3e73f69680da2c6ef37
OVO001996;Gemeente Affligem;Lokale overheid;Affligem;Gemeente;http://data.lblod.info/id/bestuurseenheden/011a6ad0efca0b7e03ca9b99bd6c636a26cbde49aa0d6844b9ebc434dc58216c
OVO001997;Gemeente Alken;Lokale overheid;Alken;Gemeente;http://data.lblod.info/id/bestuurseenheden/8af37430f91603017873dbc1390eccf364bf82854f7358e9c9845498b184660f
OVO001998;Gemeente Alveringem;Lokale overheid;Alveringem;Gemeente;http://data.lblod.info/id/bestuurseenheden/f0cc06aca0893bc875d3254bf753f2357f67f2895871347a0dd05628b0ce77c2
OVO001999;Stad Antwerpen;Lokale overheid;Antwerpen;Gemeente;http://data.lblod.info/id/bestuurseenheden/670db1d66c0de3b931962e1044033ccfa9d6e3023aa9828a5f252c3bc69bd32c
OVO002000;Gemeente Anzegem;Lokale overheid;Anzegem;Gemeente;http://data.lblod.info/id/bestuurseenheden/8662dc060c121e9d69101062f67daeef8370d38bfe86533752b9e54190dd0e2f
OVO002001;Gemeente Ardooie;Lokale overheid;Ardooie;Gemeente;http://data.lblod.info/id/bestuurseenheden/94433cd9ac2dd4ef0ccda4e07f35217fb6531adbb80d8382915f89f585d00890
OVO002002;Gemeente Arendonk;Lokale overheid;Arendonk;Gemeente;http://data.lblod.info/id/bestuurseenheden/0a71e2b47c58e6d13ac628f733863543b791869395afcfe5b5c82c98ff894e3d
OVO002003;Gemeente As;Lokale overheid;As;Gemeente;http://data.lblod.info/id/bestuurseenheden/c2c19bec2f337e69a4c9838eacd88041734db523df4f7534cf407c9d380b64b8
OVO002004;Gemeente Asse;Lokale overheid;Asse;Gemeente;http://data.lblod.info/id/bestuurseenheden/0d2e643f4635d2b4d2fc75241a1624013b274c7ffbe8f8a5f36f2bf250336863
OVO002005;Gemeente Assenede;Lokale overheid;Assenede;Gemeente;http://data.lblod.info/id/bestuurseenheden/e971816acb021c37576835e6a96922442628956fd029d885fd849c9f07414469
OVO002006;Gemeente Avelgem;Lokale overheid;Avelgem;Gemeente;http://data.lblod.info/id/bestuurseenheden/b4aa8ca2a4daa74ef8297b0b4dba2ad292e73da5337e20c65066860279751307
OVO002007;Gemeente Baarle-Hertog;Lokale overheid;Baarle-Hertog;Gemeente;http://data.lblod.info/id/bestuurseenheden/a6fae65d377aa9e3f2575d4bc0f7cf53df2b5e80ca1823433885557ff0b18834
OVO002008;Gemeente Balen;Lokale overheid;Balen;Gemeente;http://data.lblod.info/id/bestuurseenheden/6d323b27377e803eccb4261e8014f5198bba924b7ec3d7d7fa2d2a3a41f7e0f2
OVO002009;Gemeente Beernem;Lokale overheid;Beernem;Gemeente;http://data.lblod.info/id/bestuurseenheden/20b0849eb27533844f4f6c7acb3b8a5bee02a6d2dd5abbc74e07dcfb720716a2
OVO002010;Gemeente Beerse;Lokale overheid;Beerse;Gemeente;http://data.lblod.info/id/bestuurseenheden/530983bec9d00f1ab745b2eec290d35200c1011c592bd5694782680bf055092b
OVO002011;Gemeente Beersel;Lokale overheid;Beersel;Gemeente;http://data.lblod.info/id/bestuurseenheden/696a100b72d304a89de34ac2f10c9ebbfc82268297f201feca5d60b51c8b883a
OVO002012;Gemeente Begijnendijk;Lokale overheid;Begijnendijk;Gemeente;http://data.lblod.info/id/bestuurseenheden/b070cde79629e0c3c5ed3d693fe06b6b066f75299244c224edb42a54fdfad265
OVO002013;Gemeente Bekkevoort;Lokale overheid;Bekkevoort;Gemeente;http://data.lblod.info/id/bestuurseenheden/780e50a94a76c850a8f88c7e01427de38b445dcc6ebe79815a6d0f44adc530bc
OVO002014;Stad Beringen;Lokale overheid;Beringen;Gemeente;http://data.lblod.info/id/bestuurseenheden/1490ca18f894573f76065dc4fdfa2f9c0bcb00964a6af2e21ff8a81e9f1d1198
OVO002015;Gemeente Berlaar;Lokale overheid;Berlaar;Gemeente;http://data.lblod.info/id/bestuurseenheden/18eb574437cc9fa5af24990f495aaed7af868d33341faf60cffa2ee0e57dc914
OVO002016;Gemeente Berlare;Lokale overheid;Berlare;Gemeente;http://data.lblod.info/id/bestuurseenheden/5d814bf5ab1e7ef33db393cb938315910c262743afed3a464e93c1aa25f12e20
OVO002017;Gemeente Bertem;Lokale overheid;Bertem;Gemeente;http://data.lblod.info/id/bestuurseenheden/7c44225c68f7535a603d3a0a0c57a6424e8baa9fd066b6b9baa636d0facddb72
OVO002018;Gemeente Bever;Lokale overheid;Bever;Gemeente;http://data.lblod.info/id/bestuurseenheden/79606fdb21535301a493afb83e18758d21f6499355beab0099a6265fbdc700d3
OVO002019;Gemeente Beveren (Waas);Lokale overheid;Beveren;Gemeente;http://data.lblod.info/id/bestuurseenheden/4f0eb4436c88cf831c35f84e7c34ce32f9ee4e99c5139aff62990e5e531aa1e7
OVO002020;Gemeente Bierbeek;Lokale overheid;Bierbeek;Gemeente;http://data.lblod.info/id/bestuurseenheden/75b2e9d02e7790b6c0a23a3885df7e3069723b219091025dddd67ef84ff24c87
OVO002021;Stad Bilzen-Hoeselt;Lokale overheid;Bilzen-Hoeselt;Gemeente;http://data.lblod.info/id/bestuurseenheden/99da98a7a0087d3429b084ebfc4eb5d488c593790d4d5af7253982a2e21a6a5f
OVO002022;Stad Blankenberge;Lokale overheid;Blankenberge;Gemeente;http://data.lblod.info/id/bestuurseenheden/6377f53f54990033c90de6101e263f4d9e41eb7c3e4f70dec48caccefc253760
OVO002023;Gemeente Bocholt;Lokale overheid;Bocholt;Gemeente;http://data.lblod.info/id/bestuurseenheden/bb749fce340952ed57a7055edbec4c7a0aec9b2623ab5c41997eb4b013287997
OVO002024;Gemeente Boechout;Lokale overheid;Boechout;Gemeente;http://data.lblod.info/id/bestuurseenheden/c26acb21f9fef0843d93523827562f96a6ccd939dfa43ad1dd70dcb8064c40a4
OVO002025;Gemeente Bonheiden;Lokale overheid;Bonheiden;Gemeente;http://data.lblod.info/id/bestuurseenheden/156dad76d5d8e30d26b501d715fd237b38cbae60e76753a09d897fd317ab914c
OVO002026;Gemeente Boom;Lokale overheid;Boom;Gemeente;http://data.lblod.info/id/bestuurseenheden/43d5a7c66986ee2e88090b3988ea0179ad4abf5bbfb8864fc44012aa181d0e4d
OVO002027;Gemeente Boortmeerbeek;Lokale overheid;Boortmeerbeek;Gemeente;http://data.lblod.info/id/bestuurseenheden/b942231860865ab0c4108651b117f69a755a04186df97e767707e5d95955ebbd
OVO002028;Stad Borgloon;Lokale overheid;Borgloon;Gemeente;http://data.lblod.info/id/bestuurseenheden/05441122597e0b20b61a8968ea1247c07f9014aad1f1f0709d0b1234e3dfbc2f
OVO002029;Gemeente Bornem;Lokale overheid;Bornem;Gemeente;http://data.lblod.info/id/bestuurseenheden/f0326d3687d05c2e41ddbfaee635ce7ecb00eddc81454e58eb5fc8c66f511629
OVO002030;;Lokale overheid;Borsbeek;Gemeente;http://data.lblod.info/id/bestuurseenheden/e41ffa04f94bb450a79793020e70d55b5fee5033a5280277998608a9d0913117
OVO002031;Gemeente Boutersem;Lokale overheid;Boutersem;Gemeente;http://data.lblod.info/id/bestuurseenheden/920b64f03ced3fc044fcdf5493bbb99573a4213f921dc92509581cea87d7a80f
OVO002032;Gemeente Brakel;Lokale overheid;Brakel;Gemeente;http://data.lblod.info/id/bestuurseenheden/b2ee8ae754844119d83712a384587b6086358c0673645a27bca3a66e845bce84
OVO002033;Gemeente Brasschaat;Lokale overheid;Brasschaat;Gemeente;http://data.lblod.info/id/bestuurseenheden/25fc615f81f2032ee7126108474e842b418c890c3755f9e1efc58ac6dc59d1fc
OVO002034;Gemeente Brecht;Lokale overheid;Brecht;Gemeente;http://data.lblod.info/id/bestuurseenheden/c73ee91f068da28ed1f16fb057f38808e7c0d29f4c5b8b9d7b2eec235ed4d5a4
OVO002035;Gemeente Bredene;Lokale overheid;Bredene;Gemeente;http://data.lblod.info/id/bestuurseenheden/a0b451f349f1609834f2236ed8149e4f254e9aae1a897c531a99b9b0bbac0899
OVO002036;Stad Bree;Lokale overheid;Bree;Gemeente;http://data.lblod.info/id/bestuurseenheden/d7187635377e73d8cdd7e2743257bf93742a82f700e6839eb12a3e3705ac36c5
OVO002037;Stad Brugge;Lokale overheid;Brugge;Gemeente;http://data.lblod.info/id/bestuurseenheden/28346950e285b8b816133fece5ac9408097c3f190c7f32573cf0c640d6c34b1a
OVO002038;Gemeente Buggenhout;Lokale overheid;Buggenhout;Gemeente;http://data.lblod.info/id/bestuurseenheden/7d7122bd82f165e091a36c830d041b59aa48e4be9ea0aa06dc4c67ef381b7505
OVO002039;Stad Damme;Lokale overheid;Damme;Gemeente;http://data.lblod.info/id/bestuurseenheden/788f5e9af7c2e5e158bb9b72d7cababff6d4a871c5b63f346c8fcedefed33905
OVO002040;Gemeente De Haan;Lokale overheid;De Haan;Gemeente;http://data.lblod.info/id/bestuurseenheden/13eec34a405a478eab20b99eb813f2d0f409c0f8b28960b229637b394b82f880
OVO002041;Gemeente De Pinte;Lokale overheid;De Pinte;Gemeente;http://data.lblod.info/id/bestuurseenheden/e39bc997aa6dd9f240277735efd745b6a0422614d2b36cf01825c86b1b91a9ee
OVO002042;Gemeente De Panne;Lokale overheid;De Panne;Gemeente;http://data.lblod.info/id/bestuurseenheden/d90c540e25805c2ba9efc77ca016e4f24102c44496f9590a3a5c769bd6dffa74
OVO002043;Gemeente Deerlijk;Lokale overheid;Deerlijk;Gemeente;http://data.lblod.info/id/bestuurseenheden/d2d0cd89d307fb651e2d0d064a89134dbc2f26b0ffacd92d2d71e9683468a206
OVO002044;;Lokale overheid;Deinze (voor fusie);Gemeente;http://data.lblod.info/id/bestuurseenheden/25b05f670144f166a485a1d0ac37faca672b36642cf1647d846010d6fe9cabb5
